ticker,yearReport,Market Capital (Bn. VND),P/E,P/B,EPS (VND),BVPS (VND),ROE (%),ROA (%),Net Profit Margin (%)
AAM,2014,138362448000.0,15.579107488,0.5376542622,702.8643976182035,20366.2479207556,0.0344480104,0.0296407057,0.0202299394289825
AAS,2023,1680376500426.0,19.3282154502,0.6943517848,377.9966142668619,10522.0439549828,0.0439835482,0.0296028203,0.1324236093311908
AAS,2022,678720000000.0,2.1282647306,0.4426855442,3986.3461899,19164.845367075,0.2321466498,0.1613705349,0.2599957115093444
AAS,2021,724080000000.0,1.9170930822,0.5963040149,4721.2105057375,15178.499177175,0.4839730547,0.3288722211,0.3940501826992026
AAS,2020,913415000000.0,274.8684850301,2.6358314994,107.1967199032258,11178.6356625161,0.0096356279,0.0056679397,0.0066017276912239
AAS,2019,558651000000.0,29.2642127114,1.6277017011,615.8033423870968,11071.4389426129,0.0572119859,0.0443480069,0.1416605639223205
AAS,2018,558651000000.0,28.9745628078,1.7235681014,621.9593413548387,10455.6356002258,0.0613090622,0.0595964499,0.2606861063642612
AAS,2017,558651000000.0,227.9397677368,1.8325801588,79.06035958064516,9833.676258871,0.0080722055,0.0079905271,0.2105896511269866
AAS,2016,558651000000.0,53244.7247643903,1.8474330703,0.338456064516129,9754.6158992903,6.62433e-05,6.53383e-05,0.0058944595505617
AAS,2015,39646200000.0,631.8710208033,2.7565390096,28.52006090909091,6537.5457909091,0.0042278157,0.0039866511,0.1109622949445034
AAS,2014,39646200000.0,25.5584682811,2.5914271114,0.0,6954.0833004545,0.1073171035,0.100416985,0.0
AAT,2023,247866860500.0,-100.4902465821,0.3502818845,-34.82925078844899,9991.9526383298,-0.0034796656,-0.0024140681,-0.004115387693039
AAT,2022,312627296100.0,3.5115561127,0.4273888744,1060.065718622962,11464.9685423799,0.1271631709,0.0877099304,0.0703327330081286
AAT,2021,316455385440.0,10.9828264277,0.4732136449,451.6141662305091,10481.5236283279,0.0526916653,0.0370242159,0.0608942916184662
AAT,2020,626400000000.0,44.6202540962,1.4741128514,403.4042468965517,12210.7340579598,0.0335917374,0.0237790297,0.0488976663925771
AAT,2019,769080000000.0,36.3681230431,1.8717186996,607.675022816092,11807.3298110632,0.0528252644,0.0354185624,0.0713474670603012
AAT,2018,769080000000.0,32.0584083278,1.9732751069,689.3667263218391,11199.6547882471,0.0635070052,0.0398664208,0.0811610394292973
AAT,2017,769080000000.0,507.889814817,2.1027016453,43.51337505747127,10510.2880619253,0.0041390337,0.0024712422,0.0125872947148103
AAT,2016,769080000000.0,5123.2596668352,2.1016447829,4.313659942528735,10515.573411954,0.0004079493,0.0002452159,0.0018840661541028
AAT,2015,769080000000.0,1080.5275309396,2.0785436037,20.452972614942528,10632.4447368966,0.0019234146,0.0013320718,0.0032028674490453
AAT,2014,769080000000.0,33.1876902613,2.0780612139,665.9095533908046,10634.9128948851,0.0626154215,0.050427832,0.4484318443188636
AAV,2023,407027199900.0,-24.0322507594,0.547577844,-245.50343033082396,10774.7237483671,-0.0225284683,-0.0169561496,-0.2316529963797439
AAV,2022,282849410100.0,187.5692301501,0.372043147,21.85859587267352,11020.2271786979,0.0019854668,0.0014558646,0.0030374765564027
AAV,2021,286621574000.0,11.4285291816,0.3777540995,376.2513908537813,11383.0664065057,0.0420001264,0.031493055,0.050074390887408
AAV,2020,752249905600.0,56.3799749766,2.0434070916,418.5883376110855,11549.3384047483,0.0350854936,0.0224346465,0.0412242147465904
AAV,2019,902062386800.0,30.8741228074,2.5425613678,916.625232611794,11130.5081396402,0.1021936627,0.0596951366,0.0533678679337625
AAV,2018,406812386800.0,11.9127131286,2.2270996632,2375.6133212141417,12707.1098199262,0.1872107955,0.089886035,0.0727503513341224
AAV,2017,353750000000.0,18.5904982466,2.4200874197,1522.28303,11693.79245136,0.1176689334,0.0523686525,0.0777504725996325
AAV,2016,353750000000.0,24.7360420917,2.5332297483,1144.07955384,11171.50942136,0.1575302101,0.0453492257,0.0873494287179575
AAV,2015,28300000000.0,20.6235483796,2.7130887742,1372.217791,10430.915593,0.0583687804,0.0050966659,0.0157066946650238
